iter	PRAUC	Logloss
174	0.706819546	0.598750616
175	0.7068611911	0.5987369039
176	0.706917765	0.5987215474
177	0.7069679665	0.5986964655
178	0.7070244225	0.5986801988
179	0.7070620921	0.5986574751
180	0.7071073482	0.5986462742
181	0.7071855033	0.5986278211
182	0.7072325045	0.598601919
183	0.707259529	0.5985668074
184	0.7072941364	0.5985469353
185	0.707343289	0.5985355546
186	0.7073823683	0.5985226541
187	0.707445652	0.5985045309
188	0.7074718823	0.5984872678
189	0.7075391632	0.5984694437
190	0.7075936089	0.5984596498
191	0.7076373313	0.5984362774
192	0.7076918191	0.5984221288
193	0.7077192556	0.5983984319
194	0.7077915048	0.598369428
195	0.707853245	0.5983422584
196	0.7078975766	0.5983278199
197	0.707967259	0.5983057499
198	0.7080075871	0.5982937891
199	0.7080764769	0.5982770701
200	0.708125355	0.5982657492
201	0.7081552845	0.5982453656
202	0.7081779613	0.5982224309
203	0.7082291701	0.5981952713
204	0.708312004	0.5981734977
205	0.7083588718	0.5981450107
206	0.7084106192	0.5981004081
207	0.7084669977	0.5980722779
208	0.7085091008	0.5980336158
209	0.7085279343	0.598019879
210	0.7085511649	0.5980061752
211	0.7085964849	0.597986719
212	0.7086364747	0.5979664834
213	0.7086745037	0.5979552219
214	0.7087064795	0.597938998
215	0.7087549886	0.5979138994
216	0.7088180891	0.5979002202
217	0.7088429482	0.5978882508
218	0.7088963745	0.5978747209
219	0.7089729006	0.5978590361
220	0.7090142073	0.5978383605
221	0.7090483591	0.5978288276
222	0.7090911591	0.5978085658
223	0.7091464065	0.5977870463
224	0.7092085654	0.5977656567
225	0.7092509971	0.5977463567
226	0.7093020773	0.5977230478
227	0.7093268437	0.5977102504
228	0.7093860163	0.5976947482
229	0.7094524749	0.5976666208
230	0.709519621	0.5976357595
231	0.709563563	0.5976177114
232	0.7096074341	0.5975976716
233	0.7096623454	0.5975754097
234	0.7097156714	0.5975611432
235	0.7097408903	0.5975524351
236	0.7097900684	0.5975228777
237	0.7098336918	0.5975121794
238	0.7098928552	0.5974855175
239	0.7099502777	0.5974679266
240	0.7100040604	0.5974478041
241	0.7100571723	0.5974259463
242	0.7101027203	0.5974087166
243	0.710145771	0.5973905663
244	0.7102033557	0.5973693499
245	0.7102427541	0.5973436211
246	0.7103196269	0.5973232955
247	0.7103563014	0.5973073324
248	0.7104170419	0.5972804963
